Date_reported,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
20/02/2020,Mexico,0,0,0,0
21/02/2020,Mexico,1,1,0,0
22/02/2020,Mexico,0,1,0,0
23/02/2020,Mexico,0,1,0,0
24/02/2020,Mexico,0,1,0,0
25/02/2020,Mexico,0,1,0,0
26/02/2020,Mexico,0,1,0,0
27/02/2020,Mexico,0,1,0,0
28/02/2020,Mexico,3,4,0,0
29/02/2020,Mexico,0,4,0,0
01/03/2020,Mexico,2,6,0,0
02/03/2020,Mexico,2,8,0,0
03/03/2020,Mexico,2,10,0,0
04/03/2020,Mexico,5,15,0,0
05/03/2020,Mexico,9,24,0,0
06/03/2020,Mexico,10,34,0,0
07/03/2020,Mexico,11,45,0,0
08/03/2020,Mexico,6,51,0,0
09/03/2020,Mexico,7,58,0,0
10/03/2020,Mexico,8,66,0,0
11/03/2020,Mexico,5,71,0,0
12/03/2020,Mexico,17,88,0,0
13/03/2020,Mexico,39,127,0,0
14/03/2020,Mexico,41,168,0,0
15/03/2020,Mexico,66,234,0,0
16/03/2020,Mexico,52,286,0,0
17/03/2020,Mexico,37,323,0,0
18/03/2020,Mexico,77,400,0,0
19/03/2020,Mexico,104,504,0,0
20/03/2020,Mexico,116,620,3,3
21/03/2020,Mexico,151,771,0,3
22/03/2020,Mexico,132,903,1,4
23/03/2020,Mexico,85,988,0,4
24/03/2020,Mexico,70,1058,2,6
25/03/2020,Mexico,168,1226,1,7
26/03/2020,Mexico,220,1446,3,10
27/03/2020,Mexico,185,1631,2,12
28/03/2020,Mexico,224,1855,8,20
29/03/2020,Mexico,262,2117,8,28
30/03/2020,Mexico,191,2308,15,43
31/03/2020,Mexico,166,2474,9,52
01/04/2020,Mexico,345,2819,14,66
02/04/2020,Mexico,311,3130,26,92
03/04/2020,Mexico,382,3512,22,114
04/04/2020,Mexico,347,3859,26,140
05/04/2020,Mexico,392,4251,34,174
06/04/2020,Mexico,250,4501,40,214
07/04/2020,Mexico,259,4760,33,247
08/04/2020,Mexico,631,5391,58,305
09/04/2020,Mexico,515,5906,62,367
10/04/2020,Mexico,581,6487,49,416
11/04/2020,Mexico,483,6970,62,478
12/04/2020,Mexico,572,7542,78,556
13/04/2020,Mexico,464,8006,81,637
14/04/2020,Mexico,479,8485,88,725
15/04/2020,Mexico,953,9438,102,827
16/04/2020,Mexico,936,10374,114,941
17/04/2020,Mexico,985,11359,115,1056
18/04/2020,Mexico,996,12355,107,1163
19/04/2020,Mexico,1145,13500,142,1305
20/04/2020,Mexico,815,14315,137,1442
21/04/2020,Mexico,794,15109,181,1623
22/04/2020,Mexico,1521,16630,211,1834
23/04/2020,Mexico,1471,18101,215,2049
24/04/2020,Mexico,1423,19524,216,2265
25/04/2020,Mexico,1506,21030,230,2495
26/04/2020,Mexico,1734,22764,263,2758
27/04/2020,Mexico,1164,23928,290,3048
28/04/2020,Mexico,1117,25045,310,3358
29/04/2020,Mexico,1942,26987,285,3643
30/04/2020,Mexico,1961,28948,326,3969
01/05/2020,Mexico,1948,30896,386,4355
02/05/2020,Mexico,1884,32780,354,4709
03/05/2020,Mexico,1555,34335,410,5119
04/05/2020,Mexico,1493,35828,358,5477
05/05/2020,Mexico,1377,37205,369,5846
06/05/2020,Mexico,2642,39847,461,6307
07/05/2020,Mexico,2234,42081,449,6756
08/05/2020,Mexico,2389,44470,414,7170
09/05/2020,Mexico,2531,47001,403,7573
10/05/2020,Mexico,2530,49531,439,8012
11/05/2020,Mexico,1657,51188,418,8430
12/05/2020,Mexico,1552,52740,457,8887
13/05/2020,Mexico,3118,55858,460,9347
14/05/2020,Mexico,3070,58928,487,9834
15/05/2020,Mexico,3230,62158,490,10324
16/05/2020,Mexico,3217,65375,546,10870
17/05/2020,Mexico,3694,69069,556,11426
18/05/2020,Mexico,2270,71339,534,11960
19/05/2020,Mexico,1739,73078,587,12547
20/05/2020,Mexico,4181,77259,591,13138
21/05/2020,Mexico,3710,80969,579,13717
22/05/2020,Mexico,4052,85021,571,14288
23/05/2020,Mexico,4103,89124,572,14860
24/05/2020,Mexico,4132,93256,560,15420
25/05/2020,Mexico,2416,95672,539,15959
26/05/2020,Mexico,2002,97674,608,16567
27/05/2020,Mexico,4788,102462,628,17195
28/05/2020,Mexico,4423,106885,611,17806
29/05/2020,Mexico,4566,111451,594,18400
30/05/2020,Mexico,4310,115761,623,19023
31/05/2020,Mexico,4468,120229,575,19598
01/06/2020,Mexico,2822,123051,609,20207
02/06/2020,Mexico,2199,125250,634,20841
03/06/2020,Mexico,5453,130703,691,21532
04/06/2020,Mexico,4837,135540,649,22181
05/06/2020,Mexico,5073,140613,676,22857
06/06/2020,Mexico,5013,145626,656,23513
07/06/2020,Mexico,5159,150785,597,24110
08/06/2020,Mexico,3149,153934,667,24777
09/06/2020,Mexico,2468,156402,688,25465
10/06/2020,Mexico,6291,162693,738,26203
11/06/2020,Mexico,5873,168566,691,26894
12/06/2020,Mexico,5826,174392,706,27600
13/06/2020,Mexico,5471,179863,670,28270
14/06/2020,Mexico,5744,185607,731,29001
15/06/2020,Mexico,3231,188838,696,29697
16/06/2020,Mexico,2702,191540,719,30416
17/06/2020,Mexico,6690,198230,714,31130
18/06/2020,Mexico,6476,204706,775,31905
19/06/2020,Mexico,6180,210886,752,32657
20/06/2020,Mexico,6146,217032,679,33336
21/06/2020,Mexico,6162,223194,651,33987
22/06/2020,Mexico,3736,226930,618,34605
23/06/2020,Mexico,2610,229540,692,35297
24/06/2020,Mexico,7014,236554,669,35966
25/06/2020,Mexico,6617,243171,643,36609
26/06/2020,Mexico,6369,249540,649,37258
27/06/2020,Mexico,6342,255882,627,37885
28/06/2020,Mexico,6618,262500,671,38556
29/06/2020,Mexico,3779,266279,699,39255
30/06/2020,Mexico,3065,269344,691,39946
01/07/2020,Mexico,7563,276907,760,40706
02/07/2020,Mexico,7229,284136,719,41425
03/07/2020,Mexico,7696,291832,693,42118
04/07/2020,Mexico,7100,298932,703,42821
05/07/2020,Mexico,7121,306053,706,43527
06/07/2020,Mexico,3760,309813,738,44265
07/07/2020,Mexico,3103,312916,753,45018
08/07/2020,Mexico,7883,320799,827,45845
09/07/2020,Mexico,7927,328726,824,46669
10/07/2020,Mexico,7453,336179,740,47409
11/07/2020,Mexico,7059,343238,764,48173
12/07/2020,Mexico,7221,350459,728,48901
13/07/2020,Mexico,3927,354386,742,49643
14/07/2020,Mexico,3278,357664,759,50402
15/07/2020,Mexico,8927,366591,836,51238
16/07/2020,Mexico,8463,375054,808,52046
17/07/2020,Mexico,8864,383918,804,52850
18/07/2020,Mexico,8266,392184,815,53665
19/07/2020,Mexico,8050,400234,770,54435
20/07/2020,Mexico,4453,404687,747,55182
21/07/2020,Mexico,3501,408188,803,55985
22/07/2020,Mexico,9133,417321,804,56789
23/07/2020,Mexico,8660,425981,840,57629
24/07/2020,Mexico,8304,434285,752,58381
25/07/2020,Mexico,8097,442382,785,59166
26/07/2020,Mexico,8029,450411,733,59899
27/07/2020,Mexico,4211,454622,779,60678
28/07/2020,Mexico,3070,457692,785,61463
29/07/2020,Mexico,8527,466219,809,62272
30/07/2020,Mexico,8202,474421,778,63050
31/07/2020,Mexico,7674,482095,685,63735
01/08/2020,Mexico,7576,489671,748,64483
02/08/2020,Mexico,6739,496410,674,65157
03/08/2020,Mexico,3834,500244,735,65892
04/08/2020,Mexico,2563,502807,697,66589
05/08/2020,Mexico,7537,510344,759,67348
06/08/2020,Mexico,7393,517737,777,68125
07/08/2020,Mexico,7179,524916,720,68845
08/08/2020,Mexico,6678,531594,694,69539
09/08/2020,Mexico,6630,538224,645,70184
10/08/2020,Mexico,3682,541906,682,70866
11/08/2020,Mexico,2442,544348,652,71518
12/08/2020,Mexico,7271,551619,676,72194
13/08/2020,Mexico,6881,558500,700,72894
14/08/2020,Mexico,6501,565001,618,73512
15/08/2020,Mexico,6456,571457,614,74126
16/08/2020,Mexico,6219,577676,580,74706
17/08/2020,Mexico,3255,580931,586,75292
18/08/2020,Mexico,2340,583271,576,75868
19/08/2020,Mexico,6903,590174,627,76495
20/08/2020,Mexico,6732,596906,567,77062
21/08/2020,Mexico,6299,603205,585,77647
22/08/2020,Mexico,6031,609236,565,78212
23/08/2020,Mexico,6307,615543,559,78771
24/08/2020,Mexico,3163,618706,573,79344
25/08/2020,Mexico,2356,621062,525,79869
26/08/2020,Mexico,7099,628161,541,80410
27/08/2020,Mexico,6697,634858,545,80955
28/08/2020,Mexico,7037,641895,521,81476
29/08/2020,Mexico,6541,648436,494,81970
30/08/2020,Mexico,6337,654773,532,82502
31/08/2020,Mexico,3167,657940,512,83014
01/09/2020,Mexico,2245,660185,527,83541
02/09/2020,Mexico,7044,667229,548,84089
03/09/2020,Mexico,7155,674384,508,84597
04/09/2020,Mexico,6921,681305,490,85087
05/09/2020,Mexico,6300,687605,492,85579
06/09/2020,Mexico,6041,693646,479,86058
07/09/2020,Mexico,2906,696552,463,86521
08/09/2020,Mexico,2098,698650,460,86981
09/09/2020,Mexico,6428,705078,491,87472
10/09/2020,Mexico,6629,711707,428,87900
11/09/2020,Mexico,6065,717772,482,88382
12/09/2020,Mexico,5707,723479,440,88822
13/09/2020,Mexico,5506,728985,444,89266
14/09/2020,Mexico,2815,731800,465,89731
15/09/2020,Mexico,1918,733718,403,90134
16/09/2020,Mexico,6273,739991,451,90585
17/09/2020,Mexico,4372,744363,442,91027
18/09/2020,Mexico,2251,746614,422,91449
19/09/2020,Mexico,6416,753030,401,91850
20/09/2020,Mexico,5614,758644,371,92221
21/09/2020,Mexico,2822,761466,401,92622
22/09/2020,Mexico,1865,763331,423,93045
23/09/2020,Mexico,6323,769654,409,93454
24/09/2020,Mexico,6177,775831,431,93885
25/09/2020,Mexico,5834,781665,396,94281
26/09/2020,Mexico,5408,787073,410,94691
27/09/2020,Mexico,5287,792360,370,95061
28/09/2020,Mexico,2671,795031,387,95448
29/09/2020,Mexico,1840,796871,364,95812
30/09/2020,Mexico,6304,803175,377,96189
01/10/2020,Mexico,5964,809139,373,96562
02/10/2020,Mexico,5558,814697,353,96915
03/10/2020,Mexico,5293,819990,365,97280
04/10/2020,Mexico,5006,824996,367,97647
05/10/2020,Mexico,2458,827454,364,98011
06/10/2020,Mexico,1769,829223,347,98358
07/10/2020,Mexico,5934,835157,374,98732
08/10/2020,Mexico,5956,841113,363,99095
09/10/2020,Mexico,5775,846888,357,99452
10/10/2020,Mexico,5513,852401,357,99809
11/10/2020,Mexico,5666,858067,326,100135
12/10/2020,Mexico,3041,861108,384,100519
13/10/2020,Mexico,2218,863326,363,100882
14/10/2020,Mexico,6827,870153,422,101304
15/10/2020,Mexico,7135,877288,384,101688
16/10/2020,Mexico,6476,883764,372,102060
17/10/2020,Mexico,6466,890230,396,102456
18/10/2020,Mexico,6615,896845,368,102824
19/10/2020,Mexico,3354,900199,397,103221
20/10/2020,Mexico,2369,902568,401,103622
21/10/2020,Mexico,8233,910801,472,104094
22/10/2020,Mexico,8394,919195,437,104531
23/10/2020,Mexico,7420,926615,477,105008
24/10/2020,Mexico,7296,933911,463,105471
25/10/2020,Mexico,7235,941146,460,105931
26/10/2020,Mexico,3503,944649,445,106376
27/10/2020,Mexico,2474,947123,486,106862
28/10/2020,Mexico,8411,955534,500,107362
29/10/2020,Mexico,7949,963483,463,107825
30/10/2020,Mexico,7185,970668,481,108306
31/10/2020,Mexico,6873,977541,491,108797
